student_id,first_name,last_name,address,email_id,phone_number,semester
100001,James,Butt,6649 N Blue Gum St,jbutt@gmail.com,5046218927,1
100002,Josephine,Darakjy,4 B Blue Ridge Blvd,josephine_darakjy@darakjy.org,8102929388,4
100003,Art,Venere,8 W Cerritos Ave #54,art@venere.org,8566368749,4
100004,Lenna,Paprocki,639 Main St,lpaprocki@hotmail.com,9073854412,2
100005,Donette,Foller,34 Center St,donette.foller@cox.net,5135701893,3
100006,Simona,Morasca,3 Mcauley Dr,simona@morasca.com,4195032484,3
100007,Mitsue,Tollner,7 Eads St,mitsue_tollner@yahoo.com,7735736914,2
100008,Leota,Dilliard,7 W Jackson Blvd,leota@hotmail.com,4087523500,3
100009,Sage,Wieser,5 Boston Ave #88,sage_wieser@cox.net,6054142147,3
100010,Kris,Marrier,228 Runamuck Pl #2808,kris@gmail.com,4106558723,4
100011,Minna,Amigon,2371 Jerrold Ave,minna_amigon@yahoo.com,2158741229,2
100012,Abel,Maclead,37275 St  Rt 17m M,amaclead@gmail.com,6313353414,1
100013,Kiley,Caldarera,25 E 75th St #69,kiley.caldarera@aol.com,3104985651,2
100014,Graciela,Ruta,98 Connecticut Ave Nw,gruta@cox.net,4407808425,2
100015,Cammy,Albares,56 E Morehead St,calbares@gmail.com,9565376195,2
100016,Mattie,Poquette,73 State Road 434 E,mattie@aol.com,6022774385,1
100017,Meaghan,Garufi,69734 E Carrillo St,meaghan@hotmail.com,9313139635,2
100018,Gladys,Rim,322 New Horizon Blvd,gladys.rim@rim.org,4146619598,4
100019,Yuki,Whobrey,1 State Route 27,yuki_whobrey@aol.com,3132887937,1
100020,Fletcher,Flosi,394 Manchester Blvd,fletcher.flosi@yahoo.com,8158282147,3
100021,Bette,Nicka,6 S 33rd St,bette_nicka@cox.net,6105453615,1
100022,Veronika,Inouye,6 Greenleaf Ave,vinouye@aol.com,4085401785,1
100023,Willard,Kolmetz,618 W Yakima Ave,willard@hotmail.com,9723039197,4
100024,Maryann,Royster,74 S Westgate St,mroyster@royster.com,5189667987,4
100025,Alisha,Slusarski,3273 State St,alisha@slusarski.com,7326583154,3
100026,Allene,Iturbide,1 Central Ave,allene_iturbide@cox.net,7156626764,4
100027,Chanel,Caudy,86 Nw 66th St #8673,chanel.caudy@caudy.org,9133882079,4
100028,Ezekiel,Chui,2 Cedar Ave #84,ezekiel@chui.com,4106691642,2
100029,Willow,Kusko,90991 Thorburn Ave,wkusko@yahoo.com,2125824976,2
100030,Bernardo,Figeroa,386 9th Ave N,bfigeroa@aol.com,9363363951,4
100031,Ammie,Corrio,74874 Atlantic Ave,ammie@corrio.com,6148019788,3
100032,Francine,Vocelka,366 South Dr,francine_vocelka@vocelka.com,5059773911,4
100033,Ernie,Stenseth,45 E Liberty St,ernie_stenseth@aol.com,2017096245,4
100034,Albina,Glick,4 Ralph Ct,albina@glick.com,7329247882,2
100035,Alishia,Sergi,2742 Distribution Way,asergi@gmail.com,2128601579,3
100036,Solange,Shinko,426 Wolf St,solange@shinko.com,5049799175,3
100037,Jose,Stockham,128 Bransten Rd,jose@yahoo.com,2126758570,4
100038,Rozella,Ostrosky,17 Morena Blvd,rozella.ostrosky@ostrosky.com,8058326163,4
100039,Valentine,Gillian,775 W 17th St,valentine_gillian@gmail.com,2108129597,4
100040,Kati,Rulapaugh,6980 Dorsett Rd,kati.rulapaugh@hotmail.com,7854637829,2
100041,Youlanda,Schemmer,2881 Lewis Rd,youlanda@aol.com,5415488197,1
100042,Dyan,Oldroyd,7219 Woodfield Rd,doldroyd@aol.com,9134134604,1
100043,Roxane,Campain,1048 Main St,roxane@hotmail.com,9072314722,1
100044,Lavera,Perin,678 3rd Ave,lperin@perin.org,3056067291,1
100045,Erick,Ferencz,20 S Babcock St,erick.ferencz@aol.com,9077411044,4
100046,Fatima,Saylors,2 Lighthouse Ave,fsaylors@saylors.org,9527682416,2
100047,Jina,Briddick,38938 Park Blvd,jina_briddick@briddick.com,6173995124,4
100048,Kanisha,Waycott,5 Tomahawk Dr,kanisha_waycott@yahoo.com,3234532780,4
100049,Emerson,Bowley,762 S Main St,emerson.bowley@bowley.org,6083367444,4
100050,Blair,Malet,209 Decker Dr,bmalet@yahoo.com,2159079111,1
100051,Brock,Bolognia,4486 W O St #1,bbolognia@yahoo.com,2124029216,1
100052,Lorrie,Nestle,39 S 7th St,lnestle@hotmail.com,9318756644,4
100053,Sabra,Uyetake,98839 Hawthorne Blvd #6101,sabra@uyetake.org,8039255213,1
100054,Marjory,Mastella,71 San Mateo Ave,mmastella@mastella.com,6108145533,3
100055,Karl,Klonowski,76 Brooks St #9,karl_klonowski@yahoo.com,9088776135,4
100056,Tonette,Wenner,4545 Courthouse Rd,twenner@aol.com,5169686051,1
100057,Amber,Monarrez,14288 Foster Ave #4121,amber_monarrez@monarrez.org,2159348655,4
100058,Shenika,Seewald,4 Otis St,shenika@gmail.com,8184234007,4
